Category,title,rating,travelDate,publishedDate,text,url,user/contributions/helpfulVotes,user/contributions/totalContributions,user/userLocation/name,user/userLocation/shortName,placeInfo/addressObj/city,placeInfo/addressObj/country,placeInfo/addressObj/postalcode,placeInfo/addressObj/state,placeInfo/addressObj/street1,placeInfo/addressObj/street2,placeInfo/locationString,placeInfo/name,placeInfo/numberOfReviews,placeInfo/rating,placeInfo/ratingHistogram/count1,placeInfo/ratingHistogram/count2,placeInfo/ratingHistogram/count3,placeInfo/ratingHistogram/count4,placeInfo/ratingHistogram/count5
Tourist attractions,Needs TLC,3,2025-08,6/09/2025,Think this was once a great place to visit Now I feel it needs a makeover and a paint etc. I even felt sorry for the crocodiles in such small enclosures The inclosure with the replies was good and got to hold a snake,https://www.tripadvisor.com/ShowUserReviews-g255066-d1627688-r1029027991-Crocosaurus_Cove-Darwin_Top_End_Northern_Territory.html,47,39,"Adelaide, Australia",Adelaide,Darwin,Australia,800,Northern Territory,58 Mitchell Street,Corner of Mitchell & Peel Streets,"Darwin, Top End, Northern Territory",Crocosaurus Cove,3476,4.3,102,109,336,1118,1811
Tourist attractions,Great Day out,5,2025-08,8/08/2025,"What a great day.  We thoroughly enjoyed the experience. Very informative and interactive even with just the lowest cost entry.  The reptile show, feeding the baby Crocs, the reptile house, seeing the cage of death,  we loved it all. Very much recommend. ",https://www.tripadvisor.com/ShowUserReviews-g255066-d1627688-r1023235917-Crocosaurus_Cove-Darwin_Top_End_Northern_Territory.html,3,102,"Albany, Australia",Albany,Darwin,Australia,800,Northern Territory,58 Mitchell Street,Corner of Mitchell & Peel Streets,"Darwin, Top End, Northern Territory",Crocosaurus Cove,3476,4.3,102,109,336,1118,1811
Tourist attractions,Crocosaurus Cove Darwin,5,2025-06,28/07/2025,If you want an exciting day out in Darwin definitely visit Crocosaurus Cove and book the VIP tour.  It is well worth it.   You get to feed a crocodiles and hold baby crocodiles and reptiles.  You might also get to watch the Cage of Death and see Whip Rays and fish feeding.   You also get to take home photos of your crocodile feeding.  A great day out.,https://www.tripadvisor.com/ShowUserReviews-g255066-d1627688-r1021263813-Crocosaurus_Cove-Darwin_Top_End_Northern_Territory.html,3,18,"Penrith, Australia",Penrith,Darwin,Australia,800,Northern Territory,58 Mitchell Street,Corner of Mitchell & Peel Streets,"Darwin, Top End, Northern Territory",Crocosaurus Cove,3476,4.3,102,109,336,1118,1811
Tourist attractions,Great experience,5,2025-06,21/07/2025,"The bucketlist experience lived up to the high expectations. I had an amazing
time in the Cage of Death experience. I have nothing but good things to say about
Crocosaurus Cove",https://www.tripadvisor.com/ShowUserReviews-g255066-d1627688-r1019892459-Crocosaurus_Cove-Darwin_Top_End_Northern_Territory.html,32,39,"Dublin, Ireland",Dublin,Darwin,Australia,800,Northern Territory,58 Mitchell Street,Corner of Mitchell & Peel Streets,"Darwin, Top End, Northern Territory",Crocosaurus Cove,3476,4.3,102,109,336,1118,1811
Tourist attractions,So much fun,5,2025-07,21/07/2025,A great experience - staff were fantastic and they fitted us in at short notice.  Thankyou for a great day.  And best of all is the location - so great in the middle of town.,https://www.tripadvisor.com/ShowUserReviews-g255066-d1627688-r1019882274-Crocosaurus_Cove-Darwin_Top_End_Northern_Territory.html,0,1,,,Darwin,Australia,800,Northern Territory,58 Mitchell Street,Corner of Mitchell & Peel Streets,"Darwin, Top End, Northern Territory",Crocosaurus Cove,3476,4.3,102,109,336,1118,1811
Tourist attractions,Had a ball,4,2025-06,6/07/2025,We did the croc experience. It was fantastic and well organised. The reptile exhibit was also great. All wildlife seemed well fed and in great shape. ,https://www.tripadvisor.com/ShowUserReviews-g255066-d1627688-r1016924916-Crocosaurus_Cove-Darwin_Top_End_Northern_Territory.html,0,1,"Jimboomba, Australia",Jimboomba,Darwin,Australia,800,Northern Territory,58 Mitchell Street,Corner of Mitchell & Peel Streets,"Darwin, Top End, Northern Territory",Crocosaurus Cove,3476,4.3,102,109,336,1118,1811
Tourist attractions,Within Chomping Distance!!,5,2025-07,5/07/2025,"Outstanding attraction, the staff on the Cage of Death were excellent, knowledgable and caring. The experience of being so close and viewing a 5 metre Crocodile was breath taking. Memories were created which will live on in our minds and photos.",https://www.tripadvisor.com/ShowUserReviews-g255066-d1627688-r1016626538-Crocosaurus_Cove-Darwin_Top_End_Northern_Territory.html,0,4,,,Darwin,Australia,800,Northern Territory,58 Mitchell Street,Corner of Mitchell & Peel Streets,"Darwin, Top End, Northern Territory",Crocosaurus Cove,3476,4.3,102,109,336,1118,1811
Tourist attractions,"Lots of fun, get up close with a crocodile",5,2025-07,4/07/2025,"Lots of fun. I bought this experience for my 19year old as a birthday gift. Something very different! We felt safe in the glass enclosure and had plenty of time in the water with the crocodile. They have a photographer on-site that you can ask to come and take photo's, however we had a extra family member who did this for us. You spend 10mins with the water up to your shoulders, so you can swim under the water and watch the crocodile (goggles provided). You then get 5mins in shallower water, where they feed the crocodile right next to you. Bring swimmers and a towel. You can leave your things to the side of the enclosure or they have a locker. They also have a shower for afterwards if you need it. Entry fee included in the encounter price.",https://www.tripadvisor.com/ShowUserReviews-g255066-d1627688-r1016578074-Crocosaurus_Cove-Darwin_Top_End_Northern_Territory.html,37,97,,,Darwin,Australia,800,Northern Territory,58 Mitchell Street,Corner of Mitchell & Peel Streets,"Darwin, Top End, Northern Territory",Crocosaurus Cove,3476,4.3,102,109,336,1118,1811
Tourist attractions,Fantastic family holiday,5,2025-07,4/07/2025,The whole family loved it. Staff was amazing. Kids loved feeding the whiprays and holding baby crocs. We loved cage of death. The staff made the whole day amazing ,https://www.tripadvisor.com/ShowUserReviews-g255066-d1627688-r1016458529-Crocosaurus_Cove-Darwin_Top_End_Northern_Territory.html,0,1,,,Darwin,Australia,800,Northern Territory,58 Mitchell Street,Corner of Mitchell & Peel Streets,"Darwin, Top End, Northern Territory",Crocosaurus Cove,3476,4.3,102,109,336,1118,1811
Tourist attractions,Over hyped,3,2025-07,1/07/2025,Probably worth a visit but not fantastic. Feel  for the people who have spent loads on the so called cage of death . Great photos but not really anymore than watching through the walls of the aquarium. Announcements unclear to follow and no clear indication where to be for the various talks . Mention of an app that does not  download. You do get to see some big crocodiles but nothing more than you would in a zoo.,https://www.tripadvisor.com/ShowUserReviews-g255066-d1627688-r1016122322-Crocosaurus_Cove-Darwin_Top_End_Northern_Territory.html,8,32,,,Darwin,Australia,800,Northern Territory,58 Mitchell Street,Corner of Mitchell & Peel Streets,"Darwin, Top End, Northern Territory",Crocosaurus Cove,3476,4.3,102,109,336,1118,1811
Tourist attractions,Cage of Death,5,2025-06,30/06/2025,"The employees were very kind, and the process was well explained. Photographer was excellent! We felt very secure in the chamber and Leo the Crocodile put on an excellent show! Bonus was the other animals on site that can be visited. Great experience ",https://www.tripadvisor.com/ShowUserReviews-g255066-d1627688-r1015961861-Crocosaurus_Cove-Darwin_Top_End_Northern_Territory.html,0,3,,,Darwin,Australia,800,Northern Territory,58 Mitchell Street,Corner of Mitchell & Peel Streets,"Darwin, Top End, Northern Territory",Crocosaurus Cove,3476,4.3,102,109,336,1118,1811
Tourist attractions,Excellent Day,5,2025-06,28/06/2025,"Fantastic experience that didn’t disappoint.  Staff were friendly, everything we had hoped it would be and more.  Cage of Death was amazing, VIP tour was informative and enjoyable.  Would visit again.",https://www.tripadvisor.com/ShowUserReviews-g255066-d1627688-r1015510122-Crocosaurus_Cove-Darwin_Top_End_Northern_Territory.html,0,1,"Pakenham, Australia",Pakenham,Darwin,Australia,800,Northern Territory,58 Mitchell Street,Corner of Mitchell & Peel Streets,"Darwin, Top End, Northern Territory",Crocosaurus Cove,3476,4.3,102,109,336,1118,1811
Tourist attractions,Excellent,5,2025-06,28/06/2025,"Educational, entertaining, comprehensive, lots of hands on opportunities for my young grandson who is eight which I would encourage you to take.  Staff were great.  Want to know about Crocodiles this is the place to go.  reptiles were good too.",https://www.tripadvisor.com/ShowUserReviews-g255066-d1627688-r1015505918-Crocosaurus_Cove-Darwin_Top_End_Northern_Territory.html,0,1,,,Darwin,Australia,800,Northern Territory,58 Mitchell Street,Corner of Mitchell & Peel Streets,"Darwin, Top End, Northern Territory",Crocosaurus Cove,3476,4.3,102,109,336,1118,1811
